gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2574208824	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/9035945	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.05638	-91.05446	31448.0						2017-10-28T10:04:24Z	28	10	2017	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	9035945			2017-12-03T23:33:57Z	CC_BY_NC_4_0	Eric Knight	Eric Knight			2020-03-20T16:26:48.459Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2573800270	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35522351	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.392087	-90.475829	31451.0						2012-08-11T00:00:00Z	11	8	2012	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	35522351				CC_BY_NC_4_0	hironobusasaki	hironobusasaki			2020-03-20T16:25:46.981Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563703779	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7084102	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.104634	-91.183997	31448.0						2015-07-25T10:55:27Z	25	7	2015	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	7084102			2017-07-17T02:22:37Z	CC_BY_NC_4_0	mcaitlin	mcaitlin			2020-03-20T16:26:40.060Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2557714857	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36125867	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.2029	-89.896113	31451.0						2019-01-26T08:49:00Z	26	1	2019	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	36125867			2019-12-06T23:35:12Z	CC_BY_4_0	Jim Morefield	Jim Morefield			2020-03-20T16:25:52.284Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2465305758	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36041965	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.434113	-90.013434	31451.0						2017-07-12T08:59:00Z	12	7	2017	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	36041965			2019-11-25T01:26:49Z	CC_BY_NC_4_0	souhjiro	souhjiro			2020-03-20T16:25:34.661Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2465294616	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36377042	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.409566	-90.149852	31451.0						2019-11-03T09:48:47Z	3	11	2019	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	36377042			2019-12-05T13:46:42Z	CC_BY_NC_4_0	Karine Scott	Karine Scott			2020-03-20T16:26:50.273Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2456526313	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35457095	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.261793	-89.850106	31451.0						2019-11-02T18:44:08Z	2	11	2019	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	35457095			2019-11-08T18:06:46Z	CC_BY_NC_4_0	Karine Scott	Karine Scott			2020-03-20T16:25:40.747Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2451577426	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/142082	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.305625	-90.517985	31451.0						2009-10-14T19:09:24Z	14	10	2009	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	142082			2019-11-06T02:47:15Z	CC_BY_4_0	Mark Rosenstein	Mark Rosenstein			2020-03-20T16:26:12.077Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2447947584	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34928215	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.253442	-90.595232	31451.0						2001-12-31T00:00:00Z	31	12	2001	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	34928215			2019-10-26T20:14:22Z	CC_BY_NC_4_0	desertnaturalist	desertnaturalist			2020-03-20T16:25:38.985Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2447914211	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34698846	Animalia	Chordata	Mammalia	Carnivora	Otariidae	Arctocephalus	Arctocephalus galapagoensis		SPECIES	Arctocephalus galapagoensis Heller, 1904	Arctocephalus galapagoensis		EC		Galápagos			28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.26889	-89.854949	31451.0						2009-02-21T18:03:00Z	21	2	2009	2433473	2433473	HUMAN_OBSERVATION	iNaturalist	Observations	34698846			2019-10-21T17:54:26Z	CC_BY_NC_4_0	Felipe Campos	Felipe Campos			2020-03-20T16:26:50.451Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
