name,longitude,latitude,coordinateUncertaintyInMeters,country
"Leopardus wiedii (Schinz, 1821)",-68.758973,-12.660784,31069,"Bolivia, Plurinational State of"
"Leopardus wiedii (Schinz, 1821)",-51.454583,-30.397,NA,Brazil
"Leopardus wiedii (Schinz, 1821)",-54.759722,-30.225833,NA,Brazil
"Leopardus wiedii (Schinz, 1821)",-51.405506,-30.224403,NA,Brazil
"Leopardus wiedii (Schinz, 1821)",-54.142244,-30.202969,NA,Brazil
"Leopardus wiedii (Schinz, 1821)",-53.35768,-28.938616,29558,Brazil
"Leopardus wiedii (Schinz, 1821)",-88.762428,16.469349,30810,Belize
"Leopardus wiedii (Schinz, 1821)",-88.823892,17.135509,30764,Belize
"Leopardus wiedii (Schinz, 1821)",-75.908333,1.672056,3,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.907389,1.672778,3,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.617303,3.399294,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.654678,3.411775,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.62685,3.417511,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.428381,3.849119,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.369042,3.960656,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.404503,3.9902,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.555889,4.025856,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.56406,4.06178,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.71028,4.09019,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.153864,4.685022,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.211869,4.708617,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.249672,4.710489,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.213192,4.711383,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.208258,4.711517,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.100253,4.716333,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.213731,4.718994,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.113503,4.738219,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.172686,4.756514,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.033369,4.783331,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.072353,4.786656,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.01801,4.80892,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.02561,4.81822,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.131647,4.845017,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-76.036314,4.890375,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-72.4541,4.94214,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-72.55323,5.20128,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.114389,5.459333,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.114389,5.459333,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.070306,5.505028,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-72.38553,5.52125,11,Colombia
"Leopardus wiedii (Schinz, 1821)",-72.673528,5.674028,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-77.248056,5.6805,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.189722,5.893611,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.083128,6.241158,31356,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.137945,6.528304,31350,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.243606,6.742013,31344,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.313752,7.68114,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.327028,7.684222,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-77.244167,8.121389,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-74.14693,10.53473,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-75.026811,10.74975,NA,Colombia
"Leopardus wiedii (Schinz, 1821)",-83.303423,8.508516,31279,Costa Rica
"Leopardus wiedii (Schinz, 1821)",-83.288809,8.569859,31279,Costa Rica
"Leopardus wiedii (Schinz, 1821)",-84.994152,10.357941,31199,Costa Rica
"Leopardus wiedii (Schinz, 1821)",-84.789956,10.418732,31189,Costa Rica
"Leopardus wiedii (Schinz, 1821)",-84.711639,10.426951,31189,Costa Rica
"Leopardus wiedii (Schinz, 1821)",-80.767497,-1.779302,31444,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.645781,-1.717801,31444,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.752276,-1.537027,218842,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.735254,-1.492763,31446,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.854273,-1.093045,31448,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.967419,-1.044808,31448,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.976043,-1.035501,31448,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.842065,-1.003376,31448,Ecuador
