name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,datasetName,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,recordedBy,http://unknown.org/occurrenceDetails,institutionCode,rights,eventTime,occurrenceRemarks,identificationID,individualCount,elevation,elevationAccuracy,continent,eventID,habitat,institutionID,dynamicProperties,samplingEffort,county,municipality,fieldNumber,language,type,preparations,occurrenceStatus,vernacularName,verbatimElevation,identifiedBy,higherGeography,locality,locationID,ownerInstitutionCode,datasetID,samplingProtocol,accessRights,projectId,footprintWKT,parentEventID,eventRemarks
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.055873,-0.341365,"cdround,gass84",gbif,2563526506,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:46.026+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2020-01-20T03:43:00,31451,Napo,2020,1,19,1/19/20,2020-01-27T15:02:43.000+0000,2020-03-05T21:29:46.026+0000,https://www.inaturalist.org/observations/37769733,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,David Torres,37769733,david_torres,Coordinate uncertainty increased to 31451m to protect threatened taxon,1/19/20 14:00,iNaturalist research-grade observations,Observations,2563526506,Ecuador,https://www.inaturalist.org/observations/37769733,41657,37769733,David Torres,https://www.inaturalist.org/observations/37769733,iNaturalist,copyright David Torres some rights reserved,19:00:00Z,Bromelia destrozada por osos,84304183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.651419,0.048272,"cdround,gass84",gbif,2563581220,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:26.058+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2020-01-24T20:13:19,31451,Pichincha,2020,1,4,1/4/20,2020-01-25T06:31:31.000+0000,2020-03-05T21:29:26.058+0000,https://www.inaturalist.org/observations/37924789,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,sammabrams,37924789,sammabrams,Coordinate uncertainty increased to 31451m to protect threatened taxon,Sat Jan 04 2020 13:59:08 GMT-0700 (MST),iNaturalist research-grade observations,Observations,2563581220,Ecuador,https://www.inaturalist.org/observations/37924789,41657,37924789,sammabrams,https://www.inaturalist.org/observations/37924789,iNaturalist,copyright sammabrams some rights reserved,20:59:08Z,NA,84817579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.178259,-1.313636,"cdround,gass84",gbif,1990486389,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:16.942+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-01-13T04:17:37,31447,Tungurahua,2019,1,12,1/12/19,2019-12-04T20:31:08.000+0000,2020-03-05T21:29:16.942+0000,https://www.inaturalist.org/observations/19606548,http://creativecommons.org/publicdomain/zero/1.0/legalcode,WGS84,Mammalia,EC,Ecuador,Morgan Stickrod,19606548,morganstickrod,Coordinate uncertainty increased to 31447m at the request of the observer,2019/01/12 5:59 AM PST,iNaturalist research-grade observations,Observations,1990486389,Ecuador,https://www.inaturalist.org/observations/19606548,41657,19606548,Morgan Stickrod,https://www.inaturalist.org/observations/19606548,iNaturalist,By Morgan Stickrod no rights reserved,13:59:00Z,NA,43066887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.317138,-0.361018,"cdround,gass84",gbif,1990609349,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:22.990+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-01-28T15:47:36,31451,Pichincha,2019,1,13,1/13/19,2019-12-04T20:31:10.000+0000,2020-03-05T21:29:22.990+0000,https://www.inaturalist.org/observations/19930100,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,dushenkov,19930100,dushenkov,Coordinate uncertainty increased to 31451m to protect threatened taxon,2019/01/13 6:11 PM UTC,iNaturalist research-grade observations,Observations,1990609349,"Pichincha, EC",https://www.inaturalist.org/observations/19930100,41657,19930100,dushenkov,https://www.inaturalist.org/observations/19930100,iNaturalist,copyright dushenkov some rights reserved,NA,NA,44049152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.296929,-0.428185,"cdround,gass84",gbif,2005298011,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:13.000+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-02-09T21:42:10,31451,Pichincha,2019,2,9,2/9/19,2019-12-04T20:31:09.000+0000,2020-03-05T21:29:13.000+0000,https://www.inaturalist.org/observations/20237971,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,David Torres,20237971,david_torres,Coordinate uncertainty increased to 31451m to protect threatened taxon,2/9/19,iNaturalist research-grade observations,Observations,2005298011,Ecuador,https://www.inaturalist.org/observations/20237971,41657,20237971,David Torres,https://www.inaturalist.org/observations/20237971,iNaturalist,copyright David Torres some rights reserved,NA,NA,44906302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.201136,-0.413129,"cdround,gass84",gbif,2005300000,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:27:34.908+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-02-10T01:46:38,31451,Pichincha,2019,2,9,2/9/19,2019-12-04T20:30:49.000+0000,2020-03-05T21:27:34.908+0000,https://www.inaturalist.org/observations/20243095,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,Amaru,20243095,amarurubio,Coordinate uncertainty increased to 31451m to protect threatened taxon,2/9/19 10:19,iNaturalist research-grade observations,Observations,2005300000,Ecuador,https://www.inaturalist.org/observations/20243095,41657,20243095,Amaru,https://www.inaturalist.org/observations/20243095,iNaturalist,copyright Amaru some rights reserved,15:19:00Z,NA,44920098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.231215,-0.540592,"cdround,gass84",gbif,2005308362,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:27:45.856+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-02-10T22:12:38,31451,Pichincha,2019,2,9,2/9/19,2019-12-04T20:30:50.000+0000,2020-03-05T21:27:45.856+0000,https://www.inaturalist.org/observations/20264187,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,paulaleoro,20264187,paulaleoro,Coordinate uncertainty increased to 31451m to protect threatened taxon,Sat Feb 09 2019 11:06:40 GMT-0500 (GMT-5),iNaturalist research-grade observations,Observations,2005308362,Ecuador,https://www.inaturalist.org/observations/20264187,41657,20264187,paulaleoro,https://www.inaturalist.org/observations/20264187,iNaturalist,copyright paulaleoro some rights reserved,16:06:40Z,NA,44982588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.223071,-0.320285,"cdround,gass84",gbif,2013011187,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:27:36.789+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-03-06T15:18:52,31451,Pichincha,2019,2,23,2/23/19,2019-12-04T20:30:35.000+0000,2020-03-05T21:27:36.789+0000,https://www.inaturalist.org/observations/20996686,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,Steven Easley,20996686,easleybirding,Coordinate uncertainty increased to 31451m to protect threatened taxon,2019-02-23 3:26:08 PM CST,iNaturalist research-grade observations,Observations,2013011187,"Pichincha, EC",https://www.inaturalist.org/observations/20996686,41657,20996686,Steven Easley,https://www.inaturalist.org/observations/20996686,iNaturalist,copyright Steven Easley some rights reserved,21:26:08Z,NA,46778375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.381822,-0.249705,"cdround,gass84",gbif,2028513162,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:29:07.843+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-03-21T15:02:21,31451,Pichincha,2019,2,23,2/23/19,2019-12-04T20:30:36.000+0000,2020-03-05T21:29:07.843+0000,https://www.inaturalist.org/observations/21451094,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,Eric Carpenter,21451094,ecarpe,Coordinate uncertainty increased to 31451m to protect threatened taxon,2019/02/23 3:30 PM CST,iNaturalist research-grade observations,Observations,2028513162,"Pichincha, EC",https://www.inaturalist.org/observations/21451094,41657,21451094,Eric Carpenter,https://www.inaturalist.org/observations/21451094,iNaturalist,copyright Eric Carpenter some rights reserved,21:30:00Z,digiscope shot; very distant.,47918911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremarctos ornatus (F.G.Cuvier, 1825)",-78.269511,-0.276957,"cdround,gass84",gbif,2236279006,"Tremarctos ornatus (F.G.Cuvier, 1825)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2020-03-05T20:04:03.848+0000,2020-03-05T21:27:34.182+0000,203,HUMAN_OBSERVATION,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)",Animalia,Chordata,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus,Tremarctos,ornatus,SPECIES,ACCEPTED,2019-04-10T10:23:45,31451,Pichincha,2019,4,1,4/1/19,2019-12-04T20:30:36.000+0000,2020-03-05T21:27:34.182+0000,https://www.inaturalist.org/observations/22276563,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,Nelson Apolo,22276563,ecuadornaturetours,Coordinate uncertainty increased to 31451m to protect threatened taxon,2019-04-01 3:07:51 PM GMT-05:00,iNaturalist research-grade observations,Observations,2236279006,"Pichincha, EC",https://www.inaturalist.org/observations/22276563,41657,22276563,Nelson Apolo,https://www.inaturalist.org/observations/22276563,iNaturalist,copyright Nelson Apolo some rights reserved,20:07:51Z,NA,49696084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
